item_id	marker_id	item_name	gene	rs_id	normal_allele	risk_allele
I-T1	MARKER-0001	Trisomy 1	Trisomy 1	rsT1	N	O
I-T2	MARKER-0002	Trisomy 2	Trisomy 2	rsT2	N	O
I-T3	MARKER-0003	Trisomy 3	Trisomy 3	rsT3	N	O
I-T4	MARKER-0004	Trisomy 4	Trisomy 4	rsT4	N	O
I-T5	MARKER-0005	Trisomy 5	Trisomy 5	rsT5	N	O
I-T6	MARKER-0006	Trisomy 6	Trisomy 6	rsT6	N	O
I-T7	MARKER-0007	Trisomy 7	Trisomy 7	rsT7	N	O
I-T8	MARKER-0008	Trisomy 8	Trisomy 8	rsT8	N	O
I-T9	MARKER-0009	Trisomy 9	Trisomy 9	rsT9	N	O
I-T10	MARKER-0010	Trisomy 10	Trisomy 10	rsT10	N	O
I-T11	MARKER-0011	Trisomy 11	Trisomy 11	rsT11	N	O
I-T12	MARKER-0012	Trisomy 12	Trisomy 12	rsT12	N	O
I-T13	MARKER-0013	Trisomy 13	Trisomy 13	rsT13	N	O
I-T14	MARKER-0014	Trisomy 14	Trisomy 14	rsT14	N	O
I-T15	MARKER-0015	Trisomy 15	Trisomy 15	rsT15	N	O
I-T16	MARKER-0016	Trisomy 16	Trisomy 16	rsT16	N	O
I-T17	MARKER-0017	Trisomy 17	Trisomy 17	rsT17	N	O
I-T18	MARKER-0018	Trisomy 18	Trisomy 18	rsT18	N	O
I-T19	MARKER-0019	Trisomy 19	Trisomy 19	rsT19	N	O
I-T20	MARKER-0020	Trisomy 20	Trisomy 20	rsT20	N	O
I-T21	MARKER-0021	Trisomy 21	Trisomy 21	rsT21	N	O
I-T22	MARKER-0022	Trisomy 22	Trisomy 22	rsT22	N	O
I-XO	MARKER-0023	XO	XO	rsXO	N	O
I-XXX	MARKER-0024	XXX	XXX	rsXXX	N	O
I-XXY	MARKER-0025	XXY	XXY	rsXXY	N	O
I-XYY	MARKER-0026	XYY	XYY	rsXYY	N	O
I-CNV0001	MARKER-0027	1p36 deletion	1p36 deletion	rsCNV0001	N	O
I-CNV0002	MARKER-0028	2p15-p16.1 deletion	2p15-p16.1 deletion	rsCNV0002	N	O
I-CNV0003	MARKER-0029	3q29 deletion	3q29 deletion	rsCNV0003	N	O
I-CNV0004	MARKER-0030	4p16 deletion	4p16 deletion	rsCNV0004	N	O
I-CNV0005	MARKER-0031	5p15.2-p15.3 deletion	5p15.2-p15.3 deletion	rsCNV0005	N	O
I-CNV0006	MARKER-0032	7p14.1 deletion	7p14.1 deletion	rsCNV0006	N	O
I-CNV0007	MARKER-0033	8q23.3-q24.11 deletion	8q23.3-q24.11 deletion	rsCNV0007	N	O
I-CNV0008	MARKER-0034	10q26 deletion	10q26 deletion	rsCNV0008	N	O
I-CNV0009	MARKER-0035	11p13 deletion	11p13 deletion	rsCNV0009	N	O
I-CNV0010	MARKER-0036	11q23.3 deletion	11q23.3 deletion	rsCNV0010	N	O
I-CNV0011	MARKER-0037	15q11-q13 deletion	15q11-q13 deletion	rsCNV0011	N	O
I-CNV0012	MARKER-0038	16p11.2-p12.2 deletion	16p11.2-p12.2 deletion	rsCNV0012	N	O
I-CNV0013	MARKER-0039	22q11.2 deletion	22q11.2 deletion	rsCNV0013	N	O
I-CNV0014	MARKER-0040	22q13.3 deletion	22q13.3 deletion	rsCNV0014	N	O
I-CNV0015	MARKER-0041	Xp22.32 deletion	Xp22.32 deletion	rsCNV0015	N	O
I-CNV0016	MARKER-0042	1p36.33 duplication	1p36.33 duplication	rsCNV0016	N	O
I-CNV0017	MARKER-0043	1p35.2 deletion	1p35.2 deletion	rsCNV0017	N	O
I-CNV0018	MARKER-0044	1p34.1 duplication	1p34.1 duplication	rsCNV0018	N	O
I-CNV0019	MARKER-0045	1p32-p31 deletion	1p32-p31 deletion	rsCNV0019	N	O
I-CNV0020	MARKER-0046	1p21.3 deletion	1p21.3 deletion	rsCNV0020	N	O
I-CNV0021	MARKER-0047	1q21.1 duplication	1q21.1 duplication	rsCNV0021	N	O
I-CNV0022	MARKER-0048	1q21.1 deletion	1q21.1 deletion	rsCNV0022	N	O
I-CNV0023	MARKER-0049	1q24-q25 deletion	1q24-q25 deletion	rsCNV0023	N	O
I-CNV0024	MARKER-0050	1q41-q42 deletion	1q41-q42 deletion	rsCNV0024	N	O
I-CNV0025	MARKER-0051	1q43-q44 deletion	1q43-q44 deletion	rsCNV0025	N	O
I-CNV0026	MARKER-0052	1q44 deletion	1q44 deletion	rsCNV0026	N	O
I-CNV0027	MARKER-0053	2p24.1-p23.3 deletion	2p24.1-p23.3 deletion	rsCNV0027	N	O
I-CNV0028	MARKER-0054	2q13-q22.3 duplication	2q13-q22.3 duplication	rsCNV0028	N	O
I-CNV0029	MARKER-0055	2p21 deletion	2p21 deletion	rsCNV0029	N	O
I-CNV0030	MARKER-0056	2p16.3 deletion	2p16.3 deletion	rsCNV0030	N	O
I-CNV0031	MARKER-0057	2p13.2 deletion	2p13.2 deletion	rsCNV0031	N	O
I-CNV0032	MARKER-0058	2q13 deletion	2q13 deletion	rsCNV0032	N	O
